timestamp_ms,temp_c,humidity_pct,pressure_hpa,label
432000,20.44,83.52,1010.24,humid
336000,55.27,18.2,973.67,danger
244000,44.86,20.16,1014.3,warm
226000,44.15,20.14,1001.35,warm
302000,30.2,45.13,998.22,warm
522000,0.32,21.55,996.9,cold
326000,19.04,92.16,1002.2,humid
282000,4.1,21.82,998.11,cold
144000,50.15,10.44,990.17,danger
518000,22.16,44.8,1012.93,comfortable
576000,9.34,42.44,992.65,cold
464000,51.79,8.55,990.78,danger
224000,13.08,46.18,988.58,cold
364000,59.06,14.59,975.63,danger
140000,19.5,52.88,1003.42,comfortable
136000,51.32,8.64,989.83,danger
582000,55.29,14.47,991.26,danger
14000,3.94,49.78,993.92,cold
266000,43.42,48.96,1010.71,warm
102000,18.05,35.14,1022.39,comfortable
598000,18.98,75.64,1005.96,humid
456000,21.65,90.55,1015.94,humid
580000,25.91,83.47,1015.1,humid
98000,58.03,5.91,990.0,danger
438000,57.77,9.67,982.77,danger
264000,36.65,36.09,1009.27,warm
504000,51.13,8.76,986.34,danger
540000,51.19,19.24,992.64,danger
68000,54.25,9.94,971.68,danger
162000,48.39,8.82,978.88,danger
370000,20.22,76.93,1013.74,humid
20000,-0.55,35.58,1005.46,cold
168000,48.58,7.44,992.42,danger
282000,22.33,79.15,999.7,humid
440000,20.11,55.7,1001.26,comfortable
78000,29.71,24.04,1003.45,warm
246000,37.03,43.6,992.67,warm
256000,40.55,28.11,995.86,warm
410000,24.49,85.0,1009.18,humid
152000,20.06,58.08,1022.88,comfortable
382000,50.55,15.3,989.01,danger
278000,30.14,31.23,1011.89,warm
272000,49.57,6.27,970.46,danger
528000,3.47,39.96,999.75,cold
360000,19.62,97.49,1006.05,humid
108000,43.98,23.66,997.08,warm
130000,36.19,44.19,1003.83,warm
18000,33.01,32.56,1012.36,warm
272000,4.5,24.09,1008.44,cold
196000,24.79,81.18,1012.3,humid
42000,4.84,20.98,990.94,cold
486000,41.96,21.9,1018.76,warm
480000,27.87,96.56,1017.22,humid
192000,50.19,1.9,981.12,danger
508000,37.08,30.44,1000.49,warm
158000,6.22,49.09,1013.32,cold
98000,18.98,32.85,1000.74,comfortable
380000,32.08,48.08,1013.61,warm
32000,29.22,29.44,993.32,warm
8000,25.1,77.03,1012.97,humid
72000,-4.99,29.44,1002.63,cold
520000,28.59,43.12,999.96,warm
372000,41.0,41.17,1005.09,warm
134000,20.13,50.14,1024.97,comfortable
422000,0.73,22.36,1009.58,cold
386000,32.38,21.79,1012.1,warm
20000,41.0,42.74,993.93,warm
392000,27.75,88.32,1012.93,humid
94000,51.45,1.82,970.52,danger
368000,23.4,31.08,1024.62,comfortable
12000,36.42,38.05,1012.1,warm
504000,4.05,27.04,1009.42,cold
384000,1.79,38.32,1004.58,cold
578000,18.71,30.74,1017.11,comfortable
212000,3.86,41.54,1013.21,cold
258000,56.6,18.1,993.01,danger
108000,11.99,38.07,1003.74,cold
444000,42.15,33.69,1011.36,warm
322000,38.37,31.3,1009.18,warm
60000,18.03,93.96,1018.6,humid
268000,24.84,92.31,996.9,humid
58000,22.78,38.64,1020.05,comfortable
480000,23.81,59.67,1000.31,comfortable
396000,11.91,20.15,1013.28,cold
434000,-4.36,42.92,1010.83,cold
130000,21.88,42.56,1017.94,comfortable
2000,7.47,23.92,1008.77,cold
48000,19.68,82.54,1010.11,humid
308000,13.12,48.99,993.56,cold
52000,25.85,81.41,1005.16,humid
402000,27.31,97.15,1009.26,humid
494000,20.89,32.4,1017.06,comfortable
554000,21.53,47.61,1007.98,comfortable
404000,50.37,11.19,970.49,danger
332000,22.1,77.31,1010.49,humid
358000,33.68,32.87,1005.82,warm
252000,44.11,31.19,1001.15,warm
246000,20.91,31.55,1023.99,comfortable
538000,19.83,78.36,1002.67,humid
188000,43.7,30.37,1015.02,warm
170000,24.92,82.59,1012.13,humid
230000,-0.94,22.63,1010.1,cold
468000,24.67,78.94,1012.63,humid
368000,23.48,76.38,1012.5,humid
394000,41.87,47.47,1013.86,warm
88000,23.83,53.48,1015.55,comfortable
118000,18.8,47.99,1009.92,comfortable
522000,27.7,91.71,1007.6,humid
46000,24.25,46.06,1011.62,comfortable
548000,2.8,30.95,1002.46,cold
362000,43.52,21.08,1014.62,warm
248000,57.48,15.93,975.04,danger
290000,13.51,25.91,996.26,cold
462000,20.93,51.16,1013.84,comfortable
248000,18.29,48.18,1002.58,comfortable
254000,34.23,36.95,995.67,warm
436000,7.29,34.89,1009.69,cold
336000,20.22,34.45,1002.77,comfortable
230000,24.0,37.22,1004.63,comfortable
376000,19.08,78.44,1000.22,humid
172000,24.87,79.93,1008.72,humid
390000,55.14,6.46,980.98,danger
448000,56.12,19.93,984.81,danger
230000,31.01,40.41,996.39,warm
282000,21.43,34.66,1002.8,comfortable
66000,51.82,0.72,989.32,danger
186000,53.6,6.47,984.75,danger
324000,6.44,33.75,1007.4,cold
12000,48.0,16.26,974.75,danger
324000,32.34,38.56,1013.49,warm
86000,48.47,12.17,982.72,danger
156000,21.9,41.5,1003.36,comfortable
208000,19.19,90.38,1016.95,humid
580000,47.99,1.62,983.12,danger
542000,40.54,25.64,1013.23,warm
30000,19.59,39.82,1018.34,comfortable
388000,37.96,45.04,1010.34,warm
100000,37.02,22.99,993.93,warm
198000,25.7,79.08,1011.2,humid
548000,22.77,55.56,1017.98,comfortable
582000,26.22,92.29,1003.2,humid
542000,19.22,55.33,1000.58,comfortable
546000,47.68,5.9,971.01,danger
474000,23.49,34.91,1024.59,comfortable
570000,41.99,21.53,1015.26,warm
224000,59.89,18.6,976.46,danger
188000,1.33,37.94,1011.51,cold
202000,22.92,79.69,1015.86,humid
44000,38.48,46.84,1016.48,warm
364000,12.03,30.17,987.3,cold
316000,58.99,7.9,982.15,danger
6000,49.08,10.61,985.36,danger
140000,19.62,75.39,1017.32,humid
532000,53.89,0.39,974.14,danger
452000,36.51,22.69,1000.45,warm
450000,53.63,3.05,979.48,danger
540000,22.69,98.03,1014.05,humid
350000,18.31,39.14,1021.33,comfortable
116000,36.34,35.78,1009.29,warm
86000,20.19,47.81,1005.86,comfortable
232000,39.53,36.88,990.13,warm
88000,35.65,30.72,1004.02,warm
252000,22.65,88.0,997.16,humid
402000,48.89,13.18,988.67,danger
202000,22.9,57.55,1008.06,comfortable
214000,19.91,55.11,1019.6,comfortable
578000,49.57,9.86,983.34,danger
304000,26.15,83.49,995.02,humid
128000,18.72,83.97,1002.87,humid
160000,44.81,30.76,1016.7,warm
488000,22.24,34.25,1002.35,comfortable
398000,22.2,97.36,1016.36,humid
400000,28.13,33.35,1017.54,warm
200000,6.63,23.56,986.02,cold
256000,18.72,31.72,1011.38,comfortable
478000,18.76,55.09,1012.86,comfortable
428000,22.56,78.51,1017.97,humid
164000,3.17,45.14,988.17,cold
364000,43.71,36.04,1012.48,warm
210000,48.14,3.68,973.14,danger
550000,20.76,45.14,1022.19,comfortable
564000,29.46,37.79,997.82,warm
406000,19.01,45.11,1014.85,comfortable
64000,20.28,50.84,1000.92,comfortable
238000,52.65,14.43,979.92,danger
426000,3.82,25.42,1008.19,cold
194000,21.53,84.37,997.75,humid
162000,41.91,32.26,999.43,warm
346000,20.5,98.63,1005.24,humid
296000,50.33,7.33,982.99,danger
556000,31.73,34.59,1000.38,warm
574000,1.98,21.35,1005.14,cold
250000,57.19,18.94,983.77,danger
252000,59.47,13.04,971.47,danger
82000,26.44,97.18,1015.54,humid
326000,18.26,39.04,1003.46,comfortable
18000,24.43,93.02,996.79,humid
594000,23.61,49.01,1005.05,comfortable
310000,14.41,35.66,1005.78,cold
210000,34.68,47.83,998.29,warm
136000,26.41,92.56,998.38,humid
10000,8.65,41.31,992.42,cold
240000,43.17,34.89,996.24,warm
328000,33.45,33.85,1017.52,warm
574000,23.49,85.11,1007.11,humid
78000,23.75,90.25,1008.02,humid
384000,18.86,49.57,1007.94,comfortable
148000,13.12,30.56,996.05,cold
102000,32.22,23.22,1003.16,warm
516000,-2.38,49.67,988.18,cold
126000,23.35,32.63,1002.12,comfortable
546000,27.31,92.04,1006.14,humid
330000,-3.5,23.8,996.88,cold
480000,55.56,7.81,971.02,danger
522000,23.77,37.31,1018.28,comfortable
84000,31.05,30.82,1000.82,warm
40000,54.71,4.36,974.54,danger
342000,38.37,48.42,1008.57,warm
268000,48.34,2.48,991.01,danger
396000,19.38,40.82,1018.13,comfortable
62000,59.51,11.72,970.82,danger
34000,27.91,77.2,997.54,humid
286000,-1.47,27.64,992.49,cold
540000,34.71,48.1,1007.41,warm
436000,24.49,30.44,1015.54,comfortable
306000,30.36,29.11,994.05,warm
60000,23.21,52.05,1023.12,comfortable
112000,21.21,52.92,1021.33,comfortable
20000,55.18,10.23,987.48,danger
370000,58.99,18.46,992.88,danger
330000,19.24,91.58,1014.83,humid
260000,37.55,43.25,1004.38,warm
248000,-0.51,46.95,1012.37,cold
488000,20.84,77.76,1003.25,humid
210000,20.45,91.22,1015.31,humid
300000,21.8,75.02,1012.3,humid
290000,56.04,5.2,993.74,danger
72000,57.51,6.85,979.61,danger
70000,46.87,5.27,974.3,danger
496000,49.31,8.7,983.87,danger
40000,13.56,28.22,988.72,cold
334000,23.57,79.53,1002.53,humid
476000,7.03,37.03,1009.69,cold
198000,24.73,43.27,1007.48,comfortable
464000,29.62,21.06,1012.49,warm
456000,39.1,43.4,990.93,warm
292000,49.5,4.83,989.15,danger
544000,19.28,90.4,1002.68,humid
556000,25.16,82.77,1013.63,humid
58000,4.87,20.76,1007.72,cold
254000,20.2,78.09,1016.96,humid
540000,18.39,40.15,1018.59,comfortable
282000,48.65,15.07,973.12,danger
52000,5.31,30.17,987.06,cold
284000,22.38,98.9,996.01,humid
152000,24.49,83.1,995.25,humid
142000,28.51,31.42,1007.05,warm
576000,30.33,46.9,1015.69,warm
134000,24.75,79.37,1011.19,humid
530000,23.43,80.47,1015.3,humid
492000,21.24,83.29,1007.0,humid
472000,21.27,45.75,1018.96,comfortable
592000,31.75,45.69,1007.07,warm
124000,19.01,80.87,1009.63,humid
490000,53.12,5.1,981.45,danger
526000,23.92,86.45,999.61,humid
580000,35.63,21.81,1012.95,warm
416000,18.85,44.82,1012.68,comfortable
348000,19.18,91.27,1008.82,humid
598000,-0.23,36.66,1011.12,cold
106000,30.74,38.59,1001.08,warm
116000,18.98,44.76,1014.76,comfortable
6000,36.19,41.32,1002.75,warm
